Port,SupplyDemand,Num Samples
Aberdeen-f8ea5ddd09c3,Demand,12
Aberdeen-f8ea5ddd09c3,Supply,63
Abidjan-ef95aea8399b,Demand,151
Abidjan-ef95aea8399b,Supply,230
Abkatun Terminal-e054acbce2af,Supply,522
Abu Al Bu Khoosh-bf7cab492b9b,Supply,41
Acajutla-9e6d3e562992,Demand,17
Ad Dakhla-e4ef831f6712,Supply,12
Aden-0150d4fee758,Demand,10
Afia Terminal-39319bbba149,Supply,82
Agioi Theodoroi-7d3292626911,Demand,436
Agioi Theodoroi-7d3292626911,Supply,122
Aguadulce-f392c2c62fc6,Demand,102
Aguadulce-f392c2c62fc6,Supply,103
Ain Sukhna-1a3e7c53d691,Demand,390
Ain Sukhna-1a3e7c53d691,Supply,46
Akita-219577441025,Demand,11
Al Basrah-1fc976f51917,Demand,18
Al Basrah-1fc976f51917,Supply,4913
Al Muajjiz Terminal-e69352f09461,Demand,147
Al Muajjiz Terminal-e69352f09461,Supply,425
Al Rayyan Terminal-63332acc77de,Supply,12
Al Shaheen-a874751f27d5,Demand,15
Al Shaheen-a874751f27d5,Supply,768
Alexandria-25fd86a43725,Supply,26
Algeciras-f1a4cd999637,Demand,669
Algeciras-f1a4cd999637,Supply,202
Aliaga-21b1378cef5b,Demand,590
Aliaga-21b1378cef5b,Supply,30
Alliance-c82ad425b780,Demand,31
Alliance-c82ad425b780,Supply,17
Ama-34f12b4c6a17,Demand,10
Ama-34f12b4c6a17,Supply,18
Ambelaki-f95bf05978df,Demand,69
Ambelaki-f95bf05978df,Supply,102
Amlwch-6eee8273399a,Demand,21
Amlwch-6eee8273399a,Supply,42
Amsterdam-a65eb5b59856,Supply,16
Amuay Bay-5e4554330016,Demand,292
Amuay Bay-5e4554330016,Supply,481
An Ping-e585fb95bd8e,Demand,20
Angra Dos Reis-d87b536f17a4,Demand,1116
Angra Dos Reis-d87b536f17a4,Supply,823
Anholt-246b0793176c,Demand,81
Anholt-246b0793176c,Supply,12
Anse Tombladora-1a2328b8249e,Supply,11
Antan-a36fe373d14d,Supply,66
Antifer-d5d78c86794b,Demand,204
Antwerp-03800591867c,Demand,152
Antwerp-03800591867c,Supply,169
Anyer Lor-41852ba9c84a,Demand,14
Aqaba-e84221d81a14,Demand,139
Ardjuna-d97dccde6b8e,Supply,49
Ardrossan-8bbd0ea8f7b5,Demand,49
Ardrossan-8bbd0ea8f7b5,Supply,18
Argostolion-b076142a4144,Supply,16
Arraial do Cabo-b054cfd95b71,Demand,10
Arraial do Cabo-b054cfd95b71,Supply,471
Arrecife-51da4f6c5723,Demand,10
Arzew-4edb5359fa3e,Supply,487
Ash Shihr-578880cc7d3c,Supply,16
Ashburton-c47dc19835ce,Supply,12
Ashkelon-fd167dd07904,Demand,56
Ashtart-1a30d67c61b9,Supply,18
Asnaes-db5dc2dfd9d6,Supply,43
Aspropyrgos-24a155d8c02c,Demand,65
Assaluyeh-6ac34a3404e7,Demand,23
Assaluyeh-6ac34a3404e7,Supply,276
Atapupu-01acb336185f,Supply,10
Augusta-facbcc9badd3,Demand,669
Augusta-facbcc9badd3,Supply,189
Avalon-9dcfdaa2a4cd,Demand,832
Avalon-9dcfdaa2a4cd,Supply,1086
Az Zawiyah-55a0bc1ebc27,Demand,23
Az Zawiyah-55a0bc1ebc27,Supply,201
Bahia Blanca-40a025c02835,Demand,79
Bahia Blanca-40a025c02835,Supply,61
