Port_Name,Position_Latitude,Position_Longitude
Aberdeen-f8ea5ddd09c3,57.14151,-2.07729
Abidjan-ef95aea8399b,5.28604,-3.97572
Abkatun Terminal-e054acbce2af,19.48035,-92.52292
Agioi Theodoroi-7d3292626911,37.91499,23.08802
Ain Sukhna-1a3e7c53d691,29.59535,32.34484
Al Basrah-1fc976f51917,29.67187,48.83146
Al Muajjiz Terminal-e69352f09461,23.81309,38.40698
Alexandria-25fd86a43725,31.19014,29.87265
Algeciras-f1a4cd999637,36.15203,-5.41526
Aliaga-21b1378cef5b,38.8261,26.95075
Ambelaki-f95bf05978df,37.96086,23.54203
Amlwch-6eee8273399a,53.4217,-4.32833
Amuay Bay-5e4554330016,11.74766,-70.21745
Angra Dos Reis-d87b536f17a4,-23.00852,-44.28049
Anholt-246b0793176c,56.71518,11.50868
Antwerp-03800591867c,51.28352,4.3053
Aqaba-e84221d81a14,29.44677,34.97414
Ardjuna-d97dccde6b8e,-5.8947,107.73191
Ardrossan-8bbd0ea8f7b5,55.64124,-4.81972
Arraial do Cabo-b054cfd95b71,-22.97188,-42.01689
Arzew-4edb5359fa3e,35.84266,-0.22483
Ashtart-1a30d67c61b9,34.28745,11.39992
Asnaes-db5dc2dfd9d6,55.66235,11.08152
Assaluyeh-6ac34a3404e7,27.52291,52.53502
Augusta-facbcc9badd3,37.20765,15.20693
Avalon-9dcfdaa2a4cd,33.34462,-118.32038
Az Zawiyah-55a0bc1ebc27,32.80534,12.69567
Bahia Blanca-40a025c02835,-38.78784,-62.2815
Balikpapan-5fa8d362a22a,-1.22264,116.7886
Balongan-1fd4b61205b9,-6.31049,108.4188
Ban Ao Udom-d8ec7fa8f70d,13.13229,100.88661
Bandar Abbas-ce830646c7b4,27.10231,56.09328
Bantry-a03eff11cb26,51.68788,-9.569
Barbate-dd2d95f36a72,36.18261,-5.92163
Barhoft-78b54c170ecc,54.43393,13.03113
Bashayer-5e903d6d5c2c,19.39396,37.33284
Baton Rouge-1866b408e4d1,30.45672,-91.19899
Baytown-0bbc5d394cf2,29.74065,-95.0124
Bayuquan-2d56aa4f17ec,40.25703,122.03633
Beaumaris-08ae971b5c71,53.26123,-4.09166
Bedhampton-cd5a6e3297a6,50.84539,-1.00144
Beilun-16a7df7c1e03,29.92479,121.96084
Bejaia-27cbf19e9922,36.74946,5.09403
Benchamas-12dbefd04f36,10.53774,101.27026
Benicia-2b89d641c94e,38.08717,-122.09053
Beryl Terminal-fd1acfcd9ad2,59.55062,1.551
Bilbao-8ca9c71dff9e,43.35436,-3.05251
Bin Qasim-80d463699f40,24.7868,67.25673
Bizerte-7acaf9640d06,37.26948,9.88035
Bourgas-16d93a3bfdd3,42.45578,27.49359
Bouri-58e9b14b246d,33.9105,12.65354
Bozcaada-66352f54629d,39.83388,26.08353
Bridlington-7a14825d8088,54.07704,-0.19198
Brofjorden-8f0115714312,58.34845,11.42182
Brownsville-03c37f9d341d,25.96482,-97.36475
Brunsbuttel-04769aa33742,53.90031,9.15787
Buenos Aires-5bd47f0ab4c0,-34.59015,-58.38146
Burnside-9cb1bffd1db9,30.09114,-90.90344
Butinge Terminal-f297ef573599,56.0468,21.0141
Cabinda-459ca6a07faf,-5.54082,12.18215
Caleta Cordova-d38c32cf43d2,-45.76137,-67.35729
Caleta Olivia-e52e82965ea8,-46.43403,-67.49391
Caleta Paula-700d0c4f0c4f,-46.47036,-67.49218
Callao-324582de5e88,-12.00925,-77.1437
Canuku Terminal-f70399be83e6,-7.09132,12.46762
Caofeidian-29498c3cc308,39.02285,118.50401
Cape Henlopen-e6bb66ba06d7,38.78994,-75.11515
Cape May-485c180b3d95,38.94984,-74.89174
Cartagena-c83bf0dcc291,37.59277,-0.98301
Castellon-08c2845d53fd,39.96503,0.02471
